模型,R²,RMSE,MAE,MAPE(%),方向准确率(%)
GRU,0.14522302150726318,96.10516,81.98664,8.592595160007477,43.85026737967914
LSTM,0.13741546869277954,96.54308,81.45377,8.5733562707901,41.711229946524064
RNN,-0.2536736726760864,116.38917,102.83918,10.909492522478104,35.294117647058826
AutoFormer,-9.577627182006836,338.07608,315.9489,34.438538551330566,34.75935828877005
Transformer,-15.421211242675781,421.23352,378.05115,40.654465556144714,35.294117647058826
